INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00146447,  Average loss: 0.0591, Accuracy: 0.7403
INFO:root:Test set: LR: 0.00142764,  Average loss: 0.0588, Accuracy: 0.7369
INFO:root:Test set: LR: 0.00139120,  Average loss: 0.0599, Accuracy: 0.7419
INFO:root:Test set: LR: 0.00135516,  Average loss: 0.0587, Accuracy: 0.7436
INFO:root:Test set: LR: 0.00131951,  Average loss: 0.0603, Accuracy: 0.7372
INFO:root:Test set: LR: 0.00128428,  Average loss: 0.0587, Accuracy: 0.7421
INFO:root:Test set: LR: 0.00124944,  Average loss: 0.0586, Accuracy: 0.7431
INFO:root:Test set: LR: 0.00121502,  Average loss: 0.0589, Accuracy: 0.7421
INFO:root:Test set: LR: 0.00118102,  Average loss: 0.0599, Accuracy: 0.7395
INFO:root:Test set: LR: 0.00114743,  Average loss: 0.0581, Accuracy: 0.7419
INFO:root:Test set: LR: 0.00111427,  Average loss: 0.0570, Accuracy: 0.7486
INFO:root:Test set: LR: 0.00111427,  Average loss: 0.0572, Accuracy: 0.7432
INFO:root:Test set: LR: 0.00108153,  Average loss: 0.0567, Accuracy: 0.7477
INFO:root:Test set: LR: 0.00104922,  Average loss: 0.0573, Accuracy: 0.7501
INFO:root:Test set: LR: 0.00104922,  Average loss: 0.0574, Accuracy: 0.7462
INFO:root:Test set: LR: 0.00101735,  Average loss: 0.0576, Accuracy: 0.7470
INFO:root:Test set: LR: 0.00098591,  Average loss: 0.0565, Accuracy: 0.7508
INFO:root:Test set: LR: 0.00098591,  Average loss: 0.0569, Accuracy: 0.7527
INFO:root:Test set: LR: 0.00098591,  Average loss: 0.0557, Accuracy: 0.7567
INFO:root:Test set: LR: 0.00098591,  Average loss: 0.0565, Accuracy: 0.7473
INFO:root:Test set: LR: 0.00095492,  Average loss: 0.0578, Accuracy: 0.7457
